0,1	2,3,4
310,3	289,313
18,310	182,313
116,85,310	6,314,83
314	117,17
17,3	6,315
5,315	7,17
18,17	148,182
5,17	224
316,3,28	7,28
5,7	5,7
317,3,28	5,28
316,5	317,7
27,317	26,316
315,3	115,311
21,310,3	10,22,318
318,3	6,319
6,319	320,312
21,313,3	10,320,22
313,3,97	320,98
115,5,318	18,17,321
5,66,318,3	18,67,17,321
321,3	6,322
6,322	312,323
323,3	320,115
18,321	182,323
5,321	7,83
5,83	7,85
27,85	26,83
324,3,28	83,28
324,5	7,325
27,325	26,324
325,3,28	85,28
320,21,3	10,326,22
320,3,97	326,98
327,3	328
329,3	330
223,66,331,3	6,224,176,67
176,116	6,332
333,3	332
333,117	92,334
333,28	334,28
333,21	10,22,334
18,335	182,334
5,47	7,336
5,336	7,48
115,5,48	6,7,281
5,66,48,3	6,67,7,281
5,337	7,281
5,285	7,337
5,338	7,285
48,338	336,285
338,85	285,83
338,99	285,100
317,338	316,285
338,325	324,285
338,339	340,285
338,341	342,285
338,343	344,285
5,345	7,47
345,48	47,336
345,85	47,83
345,99	47,100
317,345	316,47
345,325	324,47
345,339	340,47
345,341	342,47
345,343	344,47
338,3	115,345
6,345	346,312
347,3	346,115
338,3	348,347
6,338	312,347
21,349	10,346,22
9,349	10,346,11
349,3	350
341,3,28	281,28
342,3,28	337,28
341,3	115,343
343,3	18,351
129,351	352,353
5,352	340,7
340,5	7,339
342,5	7,341
341,28	18,28
339,28	18,28
317,28	18,28
325,28	18,28
48,28	18,28
281,28	18,28
5,28	18,28
67,133,5	6,354,7
354,5,128	6,355,7
355,3	67,356
356,3	133,128
113	357
358,3	115,359
67	359
360,28	361,113,28
361,5,3	6,362,17
155	363,13
113,364	27,365
365,14	67,364
366	367,13
335	13,47
368,28	285,28
3,28	6,28
281,28	18,28
1,28	28
368,28	1,28
119,28	285,28
28	13,28
119,28	369,28
3,28	6,28
5,28	7,28
281,28	337,28
28	28
28	1,28
3,28	28
28	1,28
3,28	28
3,28	370,28
3,28	371,28
3,28	372,28
3,28	372,28
2,373	374,1
2,375	376,1
2,377	378,1
287	379
287,379	18,380
287,380	18,381
71,28	382,28
382,3	102,383
383,28	384,28
384,3	385,47
386,5	387,7
388,389	390,285
391,281	18,389
392,3	6,391
6,392	26,393,3
390,28	394,28
394,28	395,28
396	397
398,5	18,396
399,3	6,398
400,5	399,7
290	400
385,384	386,336
387,389	388,285
74,113,5	6,401,7
359,401,5	6,402,7
403,404,5	6,405,7
405,406	407,47
71,407	408,336
50,28	336,28
3,28	409,28
127,21,1	10,22,2
410,3	411
27,127	411
412	413
414,3	415
416,21	10,22,417
21,418	10,22,419
21,3,420	10,22,421
9,3,420	10,11,421
422,3	423
424	425
426,3	427
21,427	10,22,428
429,3	430,431
296,85	18,29,432
432,3	115,433
434,9	10,433,11
434,3	6,435
436	435,437
437,5	7,438
437,38	439,438
437,281	337,438
172,3	17,438
5,438	18,172
440,9	10,441,11
440,97	441,98
442,3,97	441,115,98
440,5	443,7
6,440	443,3
443,97	444,98
