1265	10500,10551,10573,10703,10737,10738,11004,11061,11064,12008,12040,12044,13035,13037,13040,14039,14055,4276,6685,6936,7043,7333,830,91043
2605	10594
10517	11041,14033,226
10585	10540,10713,10737,10738,11014,11016,11061,11063,11064,12040,13016,13048,14017,14039,14051,14054,14066,4592,6936,7043,7333,9322
12001	10500,10609,10621,10633,10719,10739,11057,12027,1265,13014,13020,14044,14066,2329,4592,7043,7333,8268,830,90618
13026	10534,10726,10778,11011,11042,12016,12029,12040,13038,14028,14056,2525,4592
4592	10249,10391,10595,10785,11059,12035,13041,14063
7043	10577,11067,12003,14001,14029,948
13008	14021
2009	14022
10793	14008,14039
10511	10505,10553,10573,10580,10583,10595,10640,10790,14020,14049,14053,4592,4957
10595	10591,10621,10790,10793,11064,13030,13035,13039,13040,14027,14039,6936,7333,7343,7824
7671	11016,7343,948
8032	10710,10767,10794,11027,11051,12017,12027,12031,13037,13050,14024,6860
14008	13001
11015	10511,10573,10581,10621,10719,11001,11004,11006,11014,11019,12013,13013,13015,13020,13035,2009,2525,4276,8549,91043
11045	13003
10511	10421,10551,10620,10621,10790,10793,11061,11064,12030,12035,13035,13039,13040,13043,14053,14055,14066,8010,8549,91043,9322,9623
9623	10700,10794,11013,11019,11067,13031,14053,14059,6661,6756
2672	11020
8080	10640,12030,13032,14022
10783	10566,12023,13038,3171
2009	10581,10631,10700,10727,10740,13003,13025,13029,13050,14012,2605,6584,6936,7333,9322
5101	10551,10577,11060,12004,12036,12040,13003,13007,13040
12003	10500,10510,10551,10595,11022,11052,13009,13037,13039,13041,13045,13056,14005,14015,14021,14024,14028,14031,1763,2513,3775,4247,8549
14015	12013
10621	10505,10566,10573,10583,10594,10595,10633,10783,10790,10793,11013,11063,13003,13010,13037,14007,14008,14042,14051
12039	10249,10550,10581,10788,11032,11042,12016,12017,12033,12048,13025,13056,14054,3242,5495,6584,7845
10732	10512,10521,10564,10598,10626,11000,11016,11036,11042,11059,12010,12013,1577,1763,2513,2605
10508	10391,10633,10793,11061,12035,14022,14026,14062,14066,9230,9322,9802
10784	10508,10545,10592,11004,2476,90618
13055	10534,14023,14031,14043,14052,14060,14061
10579	10391,10563,11051,11060,12048,13040,13041,14047,14048,14053,14061,14062,14063
11027	10508,10517,11051,11057,12040,13039,14041,1610,1941,267,7671
10517	10534,10551,10640,11056,11060,12031,12035,12042,13020,13021,13038,13047,14033,14046,14047,4043
2706	10783
10601	10421,10581,10587,10640,10713,11014,11032,11067,12000,13037,13050,14011,14017,14018,14019,14028,14072,4276,830,91043,9230
13012	10446,10573,10778,10788,11042,11060,12000,12038,12039,13007,13023,14005,14017,14025,14033,14056,8549,9056
6756	11013
13038	11037,12011,12042,13012,13032,13035,13037,13048,14028,14032,4276,8507
13036	10581,14013,14024
2009	10596,11021,12008,12046,13015,14050,6548,91043
10540	10249,10545,10599,10640,10717,10738,10783,11022,11035,3171,7610,7717,986
12015	10249,10596,11027,12017,13019,226,3268,7845
2009	7995
10793	10583,10595,10778,10790,12042,13001,8010
91043	10551,10713,10727,10737,10793,12040,13001,4276,6936
7845	10517,10564,10581,10631,10639,10712,11032,11047,11050,11051,11066,12026,12029,12048,13002,13005,13041,13055,14023,14028,14044,2009,2383,6455
13036	12011,13046,13055,14028
6532	11020,14058
12017	13007
11042	14031,14043,3242
10511	10633,11038,14007
12039	10391,10569,10573,10737,13001,13012,14030
10621	10511,10573,10577,10583,10599,10784,10790,12008,12039,13001,13013,13031,14008,4276,91043
12040	10573,10583,10585,10595,11014,11064,12008,12030,12035,12042,13004,13011,13031,13035,13039,14022,14039,4276,6936
1265	14039,8564
10573	10551,10705,10737,10790,10793,11061,12036,12040,13001,13011,13013,13030,13031,13035,14039,14051,14053,14066,9322
12040	10738,10756,11021,13013,14039,14055
1577	10502,10553,10740,1077,11002,11036,11050,1154,12037,13023,13046,14007,14011,14013,14037,14056,14069,4514,6584,7845
12017	12015
10585	10599,14036,2594,2660
8507	10512,10599,10621,10756,10788,11000,11002,11035,11042,11047,11056,12000,12016,13012,14005,14018,14031,2525,3171,3929,4043,5495,8564
10722	11011,11051,12016,13020,14023,14050,14059,7671
11042	10528,10573,10602,10614,10723,11014,11037,11066,12013,12039,12042,13008,13012,13016,13045,13056,14003,14007,1577,3853,4276,6584,7333,91043
10512	10527,10539,10563,10592,10621,10633,10706,10757,10784,11015,11052,12037,12038,12044,13005,14016,2476,3242,4957,5058,8474
10705	14039
12040	14008
13043	10640,10783,10784,10793,11057,11061,12033,12035,14060,14066,8080,9322
267	10561,10594,10598,10790,11006,12019,13015,13029,13031,14039
10581	10639
14003	10585,11063,12020,12022,12023,13036,14000,14002,14007,14019,14023,14031,14040,14043,14061
13035	10511,10573,10581,10583,10595,10705,10713,10737,11004,11014,12003,12008,12040,12044,1265,13001,13004,13030,14008,14022,14068,2594,4276
13050	10505,10564,10580,10621,10638,10639,11016,11056,12017,12018,13029,14061,14063,14065,2533
10756	10700,10784,12008,12016,13018,7043
2476	12047
5058	11000
3078	10511,10583,10585,10605,10620,10621,12008,12010,13021,13030,14003,14012,14017,14026,14029,5101,8010
13026	10511,10539,10559,10585,10721,10756,10773,11032,12013,12037,12044,13002,13010,13020,13036,14007,14025,14066,7333,7671,789,8549,9241,9623
14030	10569,10596,10737,12031,12036,13045,14012,14028,14048,14061,7333
2605	10521,10592,11027,11045,11063,12001,12003,12046,12047,13014,13030,14010,14044,14055,5929
12039	11019,12017,12019,13001,14022,14068,2594
10793	13040
267	10508,10551,10583,10585,10594,10605,10715,10738,10790,11015,11041,11064,12008,12030,12040,6661,6756,91043
14012	10581,10585,11014,11021,12006,12010,12046,13003,13015,13016,13020,13055,14000,14003,14006,14009,14010,14014,14015,14019,14020,2525,986
10551	10583,10585,10591,10595,10605,10727,10733,10737,10739,10756,11013,11014,11019,11027,12013,12019,12040,13037,14022,2752,3078,4276,5098,5101
14043	10512,10705,10706,10786,11001,11014,11019,1154,12011,12013,12015,12018,12037,12040,13001,13003,13004,13005,13037,14003,14007,14021,2329,267
4275	986
2513	10505,10525,10577,10583,10713,10727,10786,11004,11067,12003,12009,12044,13001,13009,13016,2329,267,3078,3224,7343,789,830
14001	10500,10505,10605,10611,10717,10732,10767,11000,11001,11015,11058,11063,11064,12003,12020,13004,13041,14016,14041,3867,4247,7343,8032,93033
8080	10551,10595,10621,10737,11064,12031,12040,13035,13040,14029,14051,5326,6756,7333,7610
10500	10463,10551,10595,10609,10613,10640,10784,11061,11064,12030,13007,2660,2752,6936,8010,8474
12019	10551,10573,10577,10583,10588,10595,10621,10793,12035,12040,13003,13004,13011,13030,13035,13039,13040,14039,14051,2594,7333,8010,830
91043	10511,10732,12027,13010,13013,13052,14022,14048,14074,14075,4276
14030	10573,10595,12023,13039,14005,14017,14024,14070
11011	7671
10528	10534,14030,14031
14022	10551,10611,10621,10790,11063,11064,13010,13035,14015,14039,14053,14055,7824,7995,8549,90618,93033
10713	10500,10501,10511,10573,10577,10583,10585,10705,11001,11004,11013,11014,12001,12003,12044,13001,13004,13009,13010,13013,13016,835,948
4276	10500,10511,10540,10585,10737,10784,11013,11014,12008,12030,12040,13001,13003,13004,13013,13016,13021,13031,14039,14066,14070,3078,6661,6936
10528	10527,10559,10581,10767,10784,11000,11014,11034,11037,11042,11050,11056,12014,12026,12027,13020,13023,13046,13047,14016,2533,2706,3224,6584
11016	10587,10607,10620,12048,13045,13050
12003	14008,14022,14050,4514
633	10539,10605,10606,10611,10757,11032,11063,12019,12023,12039,13019,13024,13029,14026,14029,14030,14032,14040,4957,5101,5929,6584,6661,6756
14039	10551,10573,10783,10793,12040,14017
10614	10505,10534,10573,11057,12042,14012,14017,14058
12003	10249,10391,10640,14062
10784	10500,10545,10551,10611,10705,11004,11064,12003,12008,12019,12035,13001,13021,13035,14015,14022,14061,2476,9017,93033
11019	10581,10596,10717,10737,10739,11041,11051,11052,12040,12048,13001,13007,13015,13039,14008,14019,14053,14068,1763,2329,2605
11042	10581,10788,11022,11060,12011,12033,12039,12042,13012,13041,14014,14017,14056
13056	10573,10737,10788,11004,11066,12015,12035,13030,14029,14062,2525
12047	10749,10794,13015,13036,14044
13023	10500,10512,11000,11005,12007,12011,13001,13003,13008,13009,13010,13011,13012,13048,13056,14005,14069,1610,2009,2329,2513,2525,2752,3242
12039	10545,10611,10620,10640,10766,10784,11064,12036,13030,14051,7333,8010,90618,91043
14024	10559,10639
6240	11031,4957
11027	10613,10794,11041,12030,12040,14021,7671
6584	11000,11032,11042,11060,12017,13020,13048,14011,14016,6756,7343,91043
13003	10511,10583,10793,12008,13011,13031,9623
10585	14008,14010,14066,2594,7043
12019	10500,10583,10587,10591,10595,10601,10705,10737,10740,10790,11019,11063,11064,12040,1265,13004,13013,13031,13032,3769,4276,5098,6936,830
10601	12023
10585	10609,10633,2594,5873
2672	10574,10598,10626,10721,10728,11000,11016,11038,11056,11059,11062,1154,12010,12011,12014,12048,14035,14052,8672
14010	10573
11002	10501,11050,12020
10551	10573,10577,12019,14029,14046
10596	10545,10587,10607,10611,10614,10740,11019,12016,12017,12040,13016,13031,13052,14023,14038,3769,3775,7043
10517	13001,14008,1763,7081
8010	10606
10573	10594,10614,10757,10793,11064,12030,12036,13001,13015,14008,14022,14049,14051,14053,9322
12036	10534,10585,10713,10717,10793,11005,11015,11025,11041,11067,12029,13003,13005,13039,13042,14008,14029,14044,14066,5058,6661,8507
7845	11060,13047
14010	12017
12003	11027
12003	14020
10786	10539,11034,12030,13019,13040,9623
10505	14067
4592	10505,10511,10512,10581,10594,10700,10737,11019,12040,13001,13010,14007,2525,3364,4514,6756
